"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080","SFY 2000-2001","Moody's Rating","Moody's Rating","A3"
"Ansonia","0900901220","SFY 2000-2001","Moody's Rating","Moody's Rating","A3"
"Ashford","0901501430","SFY 2000-2001","Moody's Rating","Moody's Rating","A2"
"Avon","0900302060","SFY 2000-2001","Moody's Rating","Moody's Rating","Aaa"
"Barkhamsted","0900502760","SFY 2000-2001","Moody's Rating","Moody's Rating","A2"
"Beacon Falls","0900903250","SFY 2000-2001","Moody's Rating","Moody's Rating","A3"
"Berlin","0900304300","SFY 2000-2001","Moody's Rating","Moody's Rating","Aa3"
"Bethany","0900904580","SFY 2000-2001","Moody's Rating","Moody's Rating","A1"
"Bethel","0900104720","SFY 2000-2001","Moody's Rating","Moody's Rating","A1"
"Bethlehem","0900504930","SFY 2000-2001","Moody's Rating","Moody's Rating",""
"Bloomfield","0900305910","SFY 2000-2001","Moody's Rating","Moody's Rating","Aa2"
"Bolton","0901306260","SFY 2000-2001","Moody's Rating","Moody's Rating","A1"
"Bozrah","0901106820","SFY 2000-2001","Moody's Rating","Moody's Rating",""
"Branford","0900907310","SFY 2000-2001","Moody's Rating","Moody's Rating","Aa3"
"Bridgeport","0900108070","SFY 2000-2001","Moody's Rating","Moody's Rating","Baa1"
"Bridgewater","0900508210","SFY 2000-2001","Moody's Rating","Moody's Rating",""
"Bristol","0900308490","SFY 2000-2001","Moody's Rating","Moody's Rating","Aa3"
"Brookfield","0900108980","SFY 2000-2001","Moody's Rating","Moody's Rating","Aa2"
"Brooklyn","0901509190","SFY 2000-2001","Moody's Rating","Moody's Rating","A3"
"Burlington","0900310100","SFY 2000-2001","Moody's Rating","Moody's Rating","A2"
"Canaan","0900510940","SFY 2000-2001","Moody's Rating","Moody's Rating",""
"Canterbury","0901512130","SFY 2000-2001","Moody's Rating","Moody's Rating","A3"
"Canton","0900312270","SFY 2000-2001","Moody's Rating","Moody's Rating","A1"
"Chaplin","0901513810","SFY 2000-2001","Moody's Rating","Moody's Rating",""
"Cheshire","0900914160","SFY 2000-2001","Moody's Rating","Moody's Rating","Aa3"
"Chester","0900714300","SFY 2000-2001","Moody's Rating","Moody's Rating","A2"
"Clinton","0900715350","SFY 2000-2001","Moody's Rating","Moody's Rating","A2"
"Colchester","0901115910","SFY 2000-2001","Moody's Rating","Moody's Rating","A2"
"Colebrook","0900516050","SFY 2000-2001","Moody's Rating","Moody's Rating","Baa1"
"Columbia","0901316400","SFY 2000-2001","Moody's Rating","Moody's Rating","A1"
"Cornwall","0900517240","SFY 2000-2001","Moody's Rating","Moody's Rating","A1"
"Coventry","0901317800","SFY 2000-2001","Moody's Rating","Moody's Rating","A2"
"Cromwell","0900718080","SFY 2000-2001","Moody's Rating","Moody's Rating","A1"
"Danbury","0900118500","SFY 2000-2001","Moody's Rating","Moody's Rating","Aa2"
"Darien","0900118850","SFY 2000-2001","Moody's Rating","Moody's Rating","Aaa"
"Deep River","0900719130","SFY 2000-2001","Moody's Rating","Moody's Rating","A2"
"Derby","0900919550","SFY 2000-2001","Moody's Rating","Moody's Rating","A3"
"Durham","0900720810","SFY 2000-2001","Moody's Rating","Moody's Rating",""
"Eastford","0901521860","SFY 2000-2001","Moody's Rating","Moody's Rating","A3"
"East Granby","0900322070","SFY 2000-2001","Moody's Rating","Moody's Rating","A1"
"East Haddam","0900722280","SFY 2000-2001","Moody's Rating","Moody's Rating","A1"
"East Hampton","0900722490","SFY 2000-2001","Moody's Rating","Moody's Rating","A2"
"East Hartford","0900322630","SFY 2000-2001","Moody's Rating","Moody's Rating","A1"
"East Haven","0900922910","SFY 2000-2001","Moody's Rating","Moody's Rating","A3"
